AGEP,AGEP_desc,AGEP_map,AGEP_desc_map,,FES,FES_desc,FES_map,FES_desc_map,,FPARC,FPARC_desc,FPARC_map,FPARC_desc_map,,GRPIP,GRPIP_desc,GRPIP_map,GRPIP_desc_map,,NOP,NOP_desc,NOP_map,NOP_desc_map,,POVPIP,POVPIP_desc,POVPIP_map,POVPIP_desc_map,,SPORDER,SPORDER_desc,SPORDER_map,SPORDER_desc_map,,R60,R60_desc,R60_map,R60_desc_map,,RACAIAN,RACAIAN_desc,RACAIAN_map,RACAIAN_desc_map,,RACASN,RACASN_desc,RACASN_map,RACASN_desc_map,,RACBLK,RACBLK_desc,RACBLK_map,RACBLK_desc_map,,RACWHT,RACWHT_desc,RACWHT_map,RACWHT_desc_map,,RNTP,RNTP_desc,RNTP_map,RNTP_desc_map,,WKHP,WKHP_desc,WKHP_map,WKHP_desc_map,,COW,COW_desc,COW_map,COW_desc_map,,DDRS,DDRS_desc,DDRS_map,DDRS_desc_map,,DREM,DREM_desc,DREM_map,DREM_desc_map,,ENG,ENG_desc,ENG_map,ENG_desc_map,,ESP,ESP_desc,ESP_map,ESP_desc_map,,ESR,ESR_desc,ESR_map,ESR_desc_map,,MAR,MAR_desc,MAR_map,MAR_desc_map,,NOC,NOC_desc,NOC_map,NOC_desc_map,,NP,NP_desc,NP_map,NP_desc_map,,NPF,NPF_desc,NPF_map,NPF_desc_map,,OC,OC_desc,OC_map,OC_desc_map,,PAOC,PAOC_desc,PAOC_map,PAOC_desc_map,,RNTM,RNTM_desc,RNTM_map,RNTM_desc_map,,SEX,SEX_desc,SEX_map,SEX_desc_map,,SFR,SFR_desc,SFR_map,SFR_desc_map,,PARTNER,PARTNER_desc,PARTNER_map,PARTNER_desc_map,,HICOV,HICOV_desc,HICOV_map,HICOV_desc_map,,FS,FS_desc,FS_map,FS_desc_map,,MRGP,MRGP_desc,MRGP_map,MRGP_desc_map,,SCH,SCH_desc,SCH_map,SCH_desc_map,,SCHG,SCHG_desc,SCHG_map,SCHG_desc_map,,SCHL,SCHL_desc,SCHL_map,SCHL_desc_map,,SMOCP,SMOCP_desc,SMOCP_map,SMOCP_desc_map,,SMP,SMP_desc,SMP_map,SMP_desc_map,,FOD1P,FOD1P_desc,FOD1P_map,FOD1P_desc_map,,FOD2P,FOD2P_desc,FOD2P_map,FOD2P_desc_map,,VALP,VALP_desc,VALP_map,VALP_desc_map,,RACNH,RACNH_desc,RACNH_map,RACNH_desc_map,,RAC1P,RAC1P_desc,RAC1P_map,RAC1P_desc_map,,RAC2P,RAC2P_desc,RAC2P_map,RAC2P_desc_map,,ACCESS,ACCESS_desc,ACCESS_map,ACCESS_desc_map,,BROADBND,BROADBND_desc,BROADBND_map,BROADBND_desc_map,,LAPTOP,LAPTOP_desc,LAPTOP_map,LAPTOP_desc_map,,SATELLITE,SATELLITE_desc,SATELLITE_map,SATELLITE_desc_map,,HISPEED,HISPEED_desc,HISPEED_map,HISPEED_desc_map,,SMARTPHONE,SMARTPHONE_desc,SMARTPHONE_map,SMARTPHONE_desc_map,,TABLET,TABLET_desc,TABLET_map,TABLET_desc_map,,GRNTP,GRNTP_desc,GRNTP_map,GRNTP_desc_map,,TEL,TEL_desc,TEL_map,TEL_desc_map,,ELEP,ELEP_desc,ELEP_map,ELEP_desc_map,,FINCP,FINCP_desc,FINCP_map,FINCP_desc_map,,FULP,FULP_desc,FULP_map,FULP_desc_map,,GASP,GASP_desc,GASP_map,GASP_desc_map,,HINCP,HINCP_desc,HINCP_map,HINCP_desc_map,,OIP,OIP_desc,OIP_map,OIP_desc_map,,PAP,PAP_desc,PAP_map,PAP_desc_map,,PERNP,PERNP_desc,PERNP_map,PERNP_desc_map,,PINCP,PINCP_desc,PINCP_map,PINCP_desc_map,,RETP,RETP_desc,RETP_map,RETP_desc_map,,SEMP,SEMP_desc,SEMP_map,SEMP_desc_map,,SOCP,SOCP_desc,SOCP_map,SOCP_desc_map,,SSIP,SSIP_desc,SSIP_map,SSIP_desc_map,,SSP,SSP_desc,SSP_map,SSP_desc_map,,WAGP,WAGP_desc,WAGP_map,WAGP_desc_map,,YOEP,YOEP_desc,YOEP_map,YOEP_desc_map,,ADJINC,ADJINC_desc,ADJINC_map,ADJINC_desc_map,,INTP,INTP_desc,INTP_map,INTP_desc_map,,HHT2,HHT2_desc,HHT2_map,HHT2_desc_map
1 to 99,1 to 99 years (Top-coded***),,,,0,N/A (GQ/vacant/not a family/same-sex married-couple families),,,,0,N/A (GQ/vacant/not a family),,,,1 to 100,1 percent to 100 percent,,,,0,"N/A (greater than 17 years old/not an own child of householder, and not child in subfamily)",,,,0 to 500,Below 501 percent,,,,1 to 20,Person number,,,,-1,N/A (GQ/vacant),,,,0,No,,,,0,No,,,,0,No,,,,0,No,,,,1 to 99999,$1 to $99999 (Rounded and top-coded),,,,1 to 98,1 to 98 usual hours,,,,0,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),,,,0,N/A (Less than 5 years old),,,,0,N/A (Less than 5 years old),,,,0,N/A (less than 5 years old/speaks only English),,,,0,"N/A (not own child of householder, and not child in subfamily) Living with two parents:",,,,0,N/A (less than 16 years old),,,,1,Married,,,,1 to 19,Number of own children in household,,,,2 to 20,Number of persons in household,,,,2 to 20,Number of persons in family,,,,-1,N/A (in GQ),,,,0,N/A (male/female under 16 years old/GQ),,,,0,"N/A (GQ/vacant units, except for rent"" and ""rented"," not occupied""/owned or being bought/occupied without rent payment)""",,,,1,Male,,,,0,N/A (GQ/not in a subfamily),,,,-1,N/A (GQ/vacant),,,,1,With health insurance coverage,,,,0,N/A (vacant),,,,1 to 99999,$1 to $99999 (Rounded and top-coded),,,,0,N/A (less than 3 years old),,,,0,N/A (not attending school),,,,0,N/A (less than 3 years old),,,,1 to 99999,$1 - $99999 (Components are rounded),,,,1 to 99999,$1 to $99999 (Rounded and top-coded),,,,1099,N/A (less than bachelor's degree),,,,1099,N/A (less than bachelor's degree),,,,1 to 9999999,$1 to $9999999 (Rounded and top-coded),,,,0,No,,,,1,White alone,,,,1,White alone,,,,0,N/A (GQ/vacant),,,,0,N/A (GQ/vacant/no paid access to the internet),,,,0,N/A (GQ/vacant),,,,0,N/A (GQ/vacant/no paid access to the internet),,,,0,N/A (GQ/vacant/no paid access to the internet),,,,0,N/A (GQ/vacant),,,,0,N/A (GQ/vacant),,,,1 to 9999,$1 - $9999 (Components are rounded),,,,0,N/A (GQ/vacant),,,,3 to 999,$3 to $999 (Rounded and top-coded),,,,-59998 to -1,"Loss of $1 to -$59,998",,,,3 to 9999,$3 to $9999 (Rounded and top-coded),,,,4 to 999,$4 to $999 (Rounded and top-coded),,,,-59998 to -1,"Loss of $1 to -$59,998",,,,4 to 999999,$4 to $999999 (Rounded and top-coded),,,,4 to 30000,$4 to $30000 (Rounded and top-coded),,,,-9999 to -1,Loss $1 to $9999 (Rounded components),,,,-19997 to -1,Loss $1 to $19997 (Rounded components),,,,4 to 999999,$4 to $999999 (Rounded and top-coded),,,,-10000 to -4,Loss of $4 to $10000 (Rounded and bottom-coded),,,,-1,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),,,,4 to 30000,$4 to $30000 (Rounded and top-coded),,,,4 to 50000,$4 to $50000 (Rounded and top-coded),,,,4 to 999999,$4 to 999999 (Rounded and top-coded),,,,1928,Not eligible - Born in the US,,,,1010145,2019 factor (1.010145),,,,-10000 to -4,Loss of $4 to $10000 (Rounded and bottom-coded),,,,0,N/A (GQ/vacant),
0,Under 1 year,,,,1,Married-couple family: Husband and wife in LF,,,,1,With related children under 5 years only,,,,0,N/A (GQ/vacant/owned or being bought/occupied without rent payment/no household income),,,,1,Living with two parents: Both parents NATIVE,,,,-1,N/A,,,,,,,,,0,No person 60 and over,,,,1,Yes,,,,1,Yes,,,,1,Yes,,,,1,Yes,,,,0,"N/A (GQ/vacant units, except for rent"" and ""rented"," not occupied""/owned or being bought/occupied without rent payment)""",,,,0,N/A (less than 16 years old/did not work during the past 12 months),,,,1,"Employee of a private for-profit co. or bus., or of an individual, for wages, salary, commissions",,,,1,Yes,,,,1,Yes,,,,1,Very well,,,,1,Both parents in labor force,,,,1,"Civilian employed, at work",,,,2,Widowed,,,,-1,N/A(GQ/vacant),,,,0,Vacant unit,,,,1,N/A (GQ/vacant/non-family household),,,,0,No,,,,1,Females with own children under 6 years only,,,,1,Yes,,,,2,Female,,,,1,Husband/wife no children,,,,0,No unmarried partner in household,,,,2,No health insurance coverage,,,,1,Yes,,,,0,N/A (GQ/vacant/not owned or being bought/not mortgaged),,,,1,"No, has not attended in the last 3 months",,,,1,Nursery school/preschool,,,,1,No schooling completed,,,,-1,N/A (GQ/vacant/not owned or being bought),,,,0,N/A (GQ/vacant/not owned or being bought/ /no second or junior mortgages or home equity loans),,,,1100,General Agriculture,,,,1100,General Agriculture,,,,0,"N/A (GQ/vacant units, except 'for-sale-only' and 'sold, not occupied'/not owned or being bought)",,,,1,Yes,,,,2,Black or African American alone,,,,2,Black or African American alone,,,,1,"Yes, by paying a cell phone company or Internet service provider",,,,1,Yes,,,,1,Yes,,,,1,Yes,,,,1,Yes,,,,1,Yes,,,,1,Yes,,,,0,N/A (GQ/vacant/owned or being bought/occupied without rent payment),,,,1,Yes,,,,2,N/A (GQ/vacant/included in rent or in condo fee/no charge or electricity not used ),,,,1 to 9999999,Total family income in dollars (Components are rounded),,,,2,N/A (GQ/vacant/included in rent or in condo fee/no charge or fuel other than gas or electricity not used),,,,3,N/A (GQ/vacant/included in rent or in condo fee/included in electricity payment/no charge or gas not used),,,,1 to 9999999,Total household income in dollars (Components are rounded),,,,-1,N/A (less than 15 years old),,,,-1,N/A (less than 15 years old),,,,1 to 1999998,$1 to $1999998 (Rounded and top-coded components),,,,1 to 4209995,$1 to $4209995 (Rounded and top-coded components),,,,-1,N/A (less than 15 years old),,,,4 to 999999,$4 to $999999 (Rounded and top-coded),,,,111021,MGR-General And Operations Managers,,,,-1,N/A (less than 15 years old),,,,-1,N/A (less than 15 years old),,,,-1,N/A (less than 15 years old),,,,1929,1929 or earlier (Bottom-coded),,,,,,,,,4 to 999999,$4 to $999999 (Rounded and top-coded),,,,1,Married couple household with children of the householder less than 18,
,,,,,2,"Married-couple family: Husband in labor force, wife not in LF",,,,2,With related children 5 to 17 years only,,,,101,101 percent or more,,,,2,Living with two parents: Father only FOREIGN BORN,,,,501,501 percent or more,,,,,,,,,1,1 person 60 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99 Or More Usual Hours,,,,2,"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,,2,No,,,,2,No,,,,2,Well,,,,2,Father only in labor force,,,,2,"Civilian employed, with a job but not at work",,,,3,Divorced,,,,0,No own children,,,,1,One person in household or any person in group quarters,,,,,,,,,1,Yes,,,,2,Females with own children 6 to 17 years only,,,,2,No,,,,,,,,,2,Husband/wife with children,,,,1,"Male householder, male partner",,,,,,,,,2,No,,,,,,,,,2,"Yes, public school or public college",,,,2,Kindergarten,,,,2,"Nursery school, preschool",,,,0,None,,,,,,,,,1101,Agriculture Production And Management,,,,1101,Agriculture Production And Management,,,,,,,,,,,,,,3,American Indian alone,,,,3,Apache alone,,,,2,"Yes, without paying a cell phone company or Internet service provider",,,,2,No,,,,2,No,,,,2,No,,,,2,No,,,,2,No,,,,2,No,,,,,,,,,2,No,,,,,,,,,-60000,N/A(GQ/vacant),,,,,,,,,,,,,,-60000,N/A(GQ/vacant),,,,0,None,,,,0,None,,,,-10001,N/A (less than 16 years old),,,,-19999,N/A (less than 15 years old),,,,0,None,,,,-10001,N/A (less than 15 years old),,,,1110XX,MGR-Chief Executives And Legislators,,,,0,None,,,,0,None,,,,0,None,,,,1930,1930 - 1934,,,,,,,,,-10001,N/A (less than 15 years old),,,,2,"Married couple household, no children of the householder less than 18",,
,,,,,3,"Married-couple family: Husband not in LF, wife in LF",,,,3,With related children under 5 years and 5 to 17 years,,,,,,,,,3,Living with two parents: Mother only FOREIGN BORN,,,,,,,,,,,,,,2,2 or more persons 60 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Local government employee (city, county, etc.)",,,,,,,,,,,,,,3,Not well,,,,3,Mother only in labor force,,,,3,Unemployed,,,,4,Separated,,,,,,,,,,,,,,,,,,,,,,,,3,Females with own children under 6 years and 6 to 17 years,,,,,,,,,,,,,,3,Parent in a one-parent subfamily,,,,2,"Male householder, female partner",,,,,,,,,,,,,,,,,,,3,"Yes, private school or college or home school",,,,3,Grade 1,,,,3,Kindergarten,,,,,,,,,,,,,,1102,Agricultural Economics,,,,1102,Agricultural Economics,,,,,,,,,,,,,,4,Alaska Native alone,,,,4,Blackfeet alone,,,,3,"No access to the Internet at this house, apartment, or mobile home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Suppressed for data year 2019 for select PUMAs,,,,,,,,,-59999,"Loss of -$59,999 or more",,,,,,,,,,,,,,-59999,"Loss of -$59,999 or more",,,,,,,,,,,,,,-10000,Loss of $10000 or more (Rounded and bottom-coded components),,,,-19998,Loss of $19998 or more (Rounded and bottom-coded components),,,,,,,,,0,None,,,,112011,MGR-Advertising And Promotions Managers,,,,,,,,,,,,,,,,,,,1935,1935 - 1938,,,,,,,,,0,None,,,,3,Cohabiting couple household with children of the householder less than 18,,
,,,,,4,Married-couple family: Neither husband nor wife in LF,,,,4,No related children,,,,,,,,,4,Living with two parents: BOTH parents FOREIGN BORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,State government employee,,,,,,,,,,,,,,4,Not at all,,,,4,Neither parent in labor force living with one parent: Living with father:,,,,4,"Armed Forces, At Work",,,,5,Never married or under 15 years old,,,,,,,,,,,,,,,,,,,,,,,,4,Females with no own children,,,,,,,,,,,,,,4,Child in a married-couple subfamily,,,,3,"Female householder, female partner",,,,,,,,,,,,,,,,,,,,,,,,4,Grade 2,,,,4,Grade 1,,,,,,,,,,,,,,1103,Animal Sciences,,,,1103,Animal Sciences,,,,,,,,,,,,,,5,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",,,,5,Cherokee alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,No family income,,,,,,,,,,,,,,0,No household income,,,,,,,,,,,,,,0,No earnings,,,,0,None,,,,,,,,,,,,,,112021,MGR-Marketing Managers,,,,,,,,,,,,,,,,,,,1939,1939 - 1940,,,,,,,,,,,,,,4,"Cohabiting couple household, no children of the householder less than 18",,
,,,,,5,"Other family: Male householder, no wife present, in LF",,,,,,,,,,,,,,5,Living with father only: Father NATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Federal government employee,,,,,,,,,,,,,,,,,,,5,Father in the labor force,,,,5,"Armed Forces, With a Job But Not At Work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Child in a mother-child subfamily,,,,4,"Female householder, male partner",,,,,,,,,,,,,,,,,,,,,,,,5,Grade 3,,,,5,Grade 2,,,,,,,,,,,,,,1104,Food Science,,,,1104,Food Science,,,,,,,,,,,,,,6,Asian alone,,,,6,Cheyenne alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112022,MGR-Sales Managers,,,,,,,,,,,,,,,,,,,1941,1941 - 1942,,,,,,,,,,,,,,5,"Female householder, no spouse/partner present, living alone",,
,,,,,6,"Other family: Male householder, no wife present, not in LF",,,,,,,,,,,,,,6,Living with father only: Father FOREIGN BORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Self-employed in own not incorporated business, professional practice, or farm",,,,,,,,,,,,,,,,,,,6,Father not in labor force living with mother:,,,,6,Not in Labor Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Child in a father-child subfamily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Grade 4,,,,6,Grade 3,,,,,,,,,,,,,,1105,Plant Science And Agronomy,,,,1105,Plant Science And Agronomy,,,,,,,,,,,,,,7,Native Hawaiian and Other Pacific Islander alone,,,,7,Chickasaw alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112030,MGR-Public Relations And Fundraising Managers,,,,,,,,,,,,,,,,,,,1943,1943 - 1944,,,,,,,,,,,,,,6,"Female householder, no spouse/partner present, with children of the householder less than 18",,
,,,,,7,"Other family: Female householder, no husband present, in LF",,,,,,,,,,,,,,7,Living with mother only: Mother NATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"Self-employed in own incorporated business, professional practice or farm",,,,,,,,,,,,,,,,,,,7,Mother in the labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Grade 5,,,,7,Grade 4,,,,,,,,,,,,,,1106,Soil Science,,,,1106,Soil Science,,,,,,,,,,,,,,8,Some other race alone,,,,8,Chippewa alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113012,MGR-Administrative Services Managers,,,,,,,,,,,,,,,,,,,1945,1945,,,,,,,,,,,,,,7,"Female householder, no spouse/partner present, with relatives, no children of the householder less than 18",,
,,,,,8,"Other family: Female householder, no husband present, not in LF",,,,,,,,,,,,,,8,Living with mother only: Mother FOREIGN BORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Working without pay in family business or farm,,,,,,,,,,,,,,,,,,,8,Mother not in labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Grade 6,,,,8,Grade 5,,,,,,,,,,,,,,1199,Miscellaneous Agriculture,,,,1199,Miscellaneous Agriculture,,,,,,,,,,,,,,9,Two or More Races,,,,9,Choctaw alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113013,MGR-Facilities Managers,,,,,,,,,,,,,,,,,,,1946,1946,,,,,,,,,,,,,,8,"Female householder, no spouse/partner present, only nonrelatives present",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Unemployed and last worked 5 years ago or earlier or never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Grade 7,,,,9,Grade 6,,,,,,,,,,,,,,1301,Environmental Science,,,,1301,Environmental Science,,,,,,,,,,,,,,,,,,,10,Comanche alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113021,MGR-Computer And Information Systems Managers,,,,,,,,,,,,,,,,,,,1947,1947,,,,,,,,,,,,,,9,"Male householder, no spouse/partner present, living alone",,
