grp1betas,grp1cols,grp2betas,grp2cols,grp3betas,grp3cols,grp4betas,grp4cols
8686.143632,field_of_degree_62,6840.187817,occupation_code_11.0,-1575.794567,race_black_1.0,21029.49098,property_value
5435.847218,field_of_degree_21,5466.686651,occupation_code_1.0,-1520.149683,race_detailed_1_8.0,16628.33564,workhours_week
5290.265698,field_of_degree_36,3164.421648,occupation_code_8.0,-1077.458621,cognitive_difficulty_2.0,9623.87857,age
3861.325817,field_of_degree_55,2723.443254,occupation_code_3.0,825.2562274,race_detailed_1_7.0,8622.571181,educational_attainment_5.0
3858.604782,field_of_degree_56,-2647.905628,occupation_code_9.0,365.6741612,race_detailed_1_3.0,8370.249809,own_children_presence_nan
3618.863665,field_of_degree_24,-2542.56103,occupation_code_7.0,-221.3782567,race_asian_1.0,6520.095886,household_family_type_6.0
3609.092698,field_of_degree_52,-2527.95806,occupation_code_20.0,5.35719577,race_detailed_1_5.0,5431.989807,household_family_type_1.0
3570.567724,field_of_degree_19,-2518.635494,occupation_code_24.0,,,5207.123075,family_employment_status_nan
1986.48746,field_of_degree_33,-2258.395954,occupation_code_19.0,,,-4840.658453,own_children_presence_2.0
-1598.545476,field_of_degree_20,-2143.124357,occupation_code_14.0,,,-4517.998389,worker_class_3.0
1448.781349,field_of_degree_61,1930.214584,occupation_code_4.0,,,-4292.912783,marital_status_5.0
-1297.499859,field_of_degree_48,-1610.551116,occupation_code_18.0,,,4052.822138,telephone_service_8.0
1236.610027,field_of_degree_29,-1547.194363,occupation_code_23.0,,,-3778.337827,marital_status_3.0
-1188.171361,field_of_degree_37,-1436.91766,occupation_code_17.0,,,3472.069278,family_employment_status_2.0
-1155.10093,field_of_degree_49,-1103.523196,occupation_code_16.0,,,-3432.219745,worker_class_6.0
1089.603491,field_of_degree_11,793.2638153,occupation_code_21.0,,,3351.156288,household_family_type_3.0
1005.173683,field_of_degree_14,486.094662,occupation_code_26.0,,,2944.288641,school_enrollment_3.0
986.7536849,field_of_degree_34,382.3013051,occupation_code_6.0,,,-2677.95616,household_60_presence_2.0
968.3473161,field_of_degree_23,-352.3880276,occupation_code_15.0,,,2427.965992,worker_class_7.0
907.6127046,field_of_degree_25,-349.3613388,occupation_code_12.0,,,-2381.009797,marital_status_2.0
,,188.9631468,occupation_code_5.0,,,-2337.23493,subfamily_relationship_1.0
,,,,,,2333.083825,tablet_1.0
,,,,,,-2281.596121,health_insurance_coverage_2.0
,,,,,,-2245.601165,family_presence_age_children_3.0
,,,,,,1928.521582,family_employment_status_5.0
,,,,,,-1881.667644,educational_attainment_1.0
,,,,,,842.717656,smartphone_1.0
