grp2betas,grp2cols
6840.18781690258,occupation_code_11.0
5466.686650559181,occupation_code_1.0
3164.421647872944,occupation_code_8.0
2723.44325367573,occupation_code_3.0
-2647.9056284589897,occupation_code_9.0
-2542.561030294897,occupation_code_7.0
-2527.9580604833986,occupation_code_20.0
-2518.6354938464283,occupation_code_24.0
-2258.3959544999816,occupation_code_19.0
-2143.124356758902,occupation_code_14.0
1930.2145837380717,occupation_code_4.0
-1610.5511156691384,occupation_code_18.0
-1547.1943629371992,occupation_code_23.0
-1436.9176595488684,occupation_code_17.0
-1103.5231955504455,occupation_code_16.0
793.2638153472765,occupation_code_21.0
486.0946620398059,occupation_code_26.0
382.301305127143,occupation_code_6.0
-352.3880275965302,occupation_code_15.0
-349.3613388210623,occupation_code_12.0
188.9631468209083,occupation_code_5.0
