grp1betas,grp1cols,grp2betas,grp2cols,grp3betas,grp3cols,grp4betas,grp4cols
,field_of_degree_24,,field_of_degree_24,,,4582.145277,field_of_degree_24
,field_of_degree_62,,field_of_degree_62,,,3506.743445,field_of_degree_62
,field_of_degree_36,,field_of_degree_36,,,3025.313727,field_of_degree_36
,field_of_degree_55,,field_of_degree_55,,,2550.927407,field_of_degree_55
,field_of_degree_21,,field_of_degree_21,,,2370.370576,field_of_degree_21
,field_of_degree_nan,,field_of_degree_nan,,,-1601.875733,field_of_degree_nan
,field_of_degree_50,,field_of_degree_50,,,1351.018776,field_of_degree_50
,field_of_degree_37,,field_of_degree_37,,,1339.592721,field_of_degree_37
,field_of_degree_23,,field_of_degree_23,,,-801.572799,field_of_degree_23
,occupation_code_1.0,,occupation_code_1.0,,,6025.378409,occupation_code_1.0
,occupation_code_11.0,,occupation_code_11.0,,,4411.580948,occupation_code_11.0
,occupation_code_9.0,,occupation_code_9.0,,,-4022.531092,occupation_code_9.0
,occupation_code_8.0,,occupation_code_8.0,,,3878.713115,occupation_code_8.0
,occupation_code_24.0,,occupation_code_24.0,,,-3079.550798,occupation_code_24.0
,occupation_code_18.0,,occupation_code_18.0,,,-2629.525226,occupation_code_18.0
,occupation_code_23.0,,occupation_code_23.0,,,-2588.002672,occupation_code_23.0
,occupation_code_14.0,,occupation_code_14.0,,,-2508.294964,occupation_code_14.0
,occupation_code_4.0,,occupation_code_4.0,,,2263.562434,occupation_code_4.0
,occupation_code_7.0,,occupation_code_7.0,,,-2232.866384,occupation_code_7.0
,occupation_code_3.0,,occupation_code_3.0,,,2170.713387,occupation_code_3.0
,occupation_code_15.0,,occupation_code_15.0,,,-2160.94249,occupation_code_15.0
,occupation_code_20.0,,occupation_code_20.0,,,-1916.202368,occupation_code_20.0
,occupation_code_16.0,,occupation_code_16.0,,,-1891.642854,occupation_code_16.0
,occupation_code_12.0,,occupation_code_12.0,,,-1403.452074,occupation_code_12.0
,occupation_code_2.0,,occupation_code_2.0,,,1120.409115,occupation_code_2.0
,race_detailed_1_8.0,,race_detailed_1_8.0,,,-285.5758584,race_detailed_1_8.0
,sex_1.0,,sex_1.0,,,-223.6358935,sex_1.0
,sex_2.0,,sex_2.0,,,223.6358868,sex_2.0
,workhours_week,,workhours_week,,,15139.70491,workhours_week
,property_value,,property_value,,,14951.89203,property_value
,age,,age,,,7994.072228,age
,educational_attainment_5.0,,educational_attainment_5.0,,,7379.731155,educational_attainment_5.0
,own_children_presence_nan,,own_children_presence_nan,,,7359.141533,own_children_presence_nan
,household_60_presence_0.0,,household_60_presence_0.0,,,4561.186428,household_60_presence_0.0
,own_children_number,,own_children_number,,,4280.969958,own_children_number
,educational_attainment_6.0,,educational_attainment_6.0,,,3973.146737,educational_attainment_6.0
,family_employment_status_2.0,,family_employment_status_2.0,,,3795.772813,family_employment_status_2.0
,own_children_presence_2.0,,own_children_presence_2.0,,,-3329.846554,own_children_presence_2.0
,household_people_number,,household_people_number,,,-3329.541409,household_people_number
,worker_class_7.0,,worker_class_7.0,,,2516.157544,worker_class_7.0
,family_presence_age_children_4.0,,family_presence_age_children_4.0,,,-2368.543363,family_presence_age_children_4.0
,household_60_presence_1.0,,household_60_presence_1.0,,,2056.413237,household_60_presence_1.0
,family_presence_age_children_2.0,,family_presence_age_children_2.0,,,2049.378965,family_presence_age_children_2.0
,employment_status_1.0,,employment_status_1.0,,,2032.303878,employment_status_1.0
,english_language_2.0,,english_language_2.0,,,-1829.401141,english_language_2.0
,worker_class_1.0,,worker_class_1.0,,,1744.070279,worker_class_1.0
,tablet_2.0,,tablet_2.0,,,-1603.754467,tablet_2.0
,num_degrees_0.0,,num_degrees_0.0,,,-1601.875733,num_degrees_0.0
,worker_class_4.0,,worker_class_4.0,,,-1504.975954,worker_class_4.0
,num_degrees_1.0,,num_degrees_1.0,,,1501.376512,num_degrees_1.0
,household_family_type_1.0,,household_family_type_1.0,,,-1414.682059,household_family_type_1.0
,english_language_3.0,,english_language_3.0,,,-1347.713119,english_language_3.0
,worker_class_6.0,,worker_class_6.0,,,-1303.09993,worker_class_6.0
,health_insurance_coverage_1.0,,health_insurance_coverage_1.0,,,1285.072029,health_insurance_coverage_1.0
,health_insurance_coverage_2.0,,health_insurance_coverage_2.0,,,-1285.071994,health_insurance_coverage_2.0
,mortgage_second_payment,,mortgage_second_payment,,,1142.955187,mortgage_second_payment
,marital_status_1.0,,marital_status_1.0,,,1085.573935,marital_status_1.0
,worker_class_3.0,,worker_class_3.0,,,-1038.152828,worker_class_3.0
,employment_status_6.0,,employment_status_6.0,,,1015.919402,employment_status_6.0
,internet_highspeed_broadband_2.0,,internet_highspeed_broadband_2.0,,,-988.1489352,internet_highspeed_broadband_2.0
,educational_attainment_2.0,,educational_attainment_2.0,,,-936.9741462,educational_attainment_2.0
,educational_attainment_1.0,,educational_attainment_1.0,,,-886.0595993,educational_attainment_1.0
,own_children_presence_3.0,,own_children_presence_3.0,,,-882.0427611,own_children_presence_3.0
,employment_status_3.0,,employment_status_3.0,,,-824.8959432,employment_status_3.0
,marital_status_5.0,,marital_status_5.0,,,-824.0476243,marital_status_5.0
,grade_level_attending_nan,,grade_level_attending_nan,,,731.7911752,grade_level_attending_nan
,school_enrollment_1.0,,school_enrollment_1.0,,,731.7911752,school_enrollment_1.0
,household_60_presence_2.0,,household_60_presence_2.0,,,550.0672485,household_60_presence_2.0
,educational_attainment_3.0,,educational_attainment_3.0,,,-390.0049033,educational_attainment_3.0
,num_degrees_2.0,,num_degrees_2.0,,,313.8275944,num_degrees_2.0
