grp4betas,grp4cols
15139.704913461892,workhours_week
14951.892027106558,property_value
7994.072227602028,age
7379.731154527019,educational_attainment_5.0
7359.1415327454415,own_children_presence_nan
4561.186427581059,household_60_presence_0.0
4280.969957877989,own_children_number
3973.1467372972425,educational_attainment_6.0
3795.7728129401517,family_employment_status_2.0
-3329.846553791384,own_children_presence_2.0
-3329.5414089227875,household_people_number
2516.157544174693,worker_class_7.0
-2368.54336346284,family_presence_age_children_4.0
2056.4132369612594,household_60_presence_1.0
2049.378964712515,family_presence_age_children_2.0
2032.303877518664,employment_status_1.0
-1829.4011411562847,english_language_2.0
1744.0702792892864,worker_class_1.0
-1603.7544665161183,tablet_2.0
-1601.875733013545,num_degrees_0.0
-1504.9759537933464,worker_class_4.0
1501.376511513511,num_degrees_1.0
-1414.6820587416212,household_family_type_1.0
-1347.7131192799095,english_language_3.0
-1303.099930213546,worker_class_6.0
1285.072029244189,health_insurance_coverage_1.0
-1285.0719939060127,health_insurance_coverage_2.0
1142.955187192313,mortgage_second_payment
1085.573935433089,marital_status_1.0
-1038.152828212963,worker_class_3.0
1015.9194015919031,employment_status_6.0
-988.1489352311196,internet_highspeed_broadband_2.0
-936.9741461778095,educational_attainment_2.0
-886.0595993032262,educational_attainment_1.0
-882.042761140754,own_children_presence_3.0
-824.8959432463072,employment_status_3.0
-824.0476242865859,marital_status_5.0
731.7911751965672,grade_level_attending_nan
731.7911751965672,school_enrollment_1.0
550.0672484661969,household_60_presence_2.0
-390.0049032918571,educational_attainment_3.0
313.82759438703204,num_degrees_2.0
